LogID,UserID,UserIP,Timestamp,DateTime,Event,ImageID,Type
37,1,127.0.0.1,1499958547,2017-07-13 17:09:07.993,page loaded,35,None
38,1,127.0.0.1,1499958550,2017-07-13 17:09:10.518,started typing,35,None
39,1,127.0.0.1,1499958554,2017-07-13 17:09:14.207,submitted,35,pie chart
40,1,127.0.0.1,1499958554,2017-07-13 17:09:14.821,page loaded,36,None
41,1,127.0.0.1,1499958556,2017-07-13 17:09:16.282,started typing,36,None
42,1,127.0.0.1,1499958558,2017-07-13 17:09:18.877,submitted,36,pie chart
43,1,127.0.0.1,1499958559,2017-07-13 17:09:19.629,page loaded,37,None
44,1,127.0.0.1,1499958563,2017-07-13 17:09:23.250,started typing,37,None
45,1,127.0.0.1,1499958564,2017-07-13 17:09:24.801,submitted,37,scatter plot
46,1,127.0.0.1,1499958565,2017-07-13 17:09:25.413,page loaded,38,None
47,1,127.0.0.1,1499958567,2017-07-13 17:09:27.318,started typing,38,None
48,1,127.0.0.1,1499958570,2017-07-13 17:09:30.432,submitted,38,pie chart
49,1,127.0.0.1,1499958571,2017-07-13 17:09:31.150,page loaded,39,None
50,1,127.0.0.1,1499958572,2017-07-13 17:09:32.952,started typing,39,None
51,1,127.0.0.1,1499958575,2017-07-13 17:09:35.583,submitted,39,bar chart
52,1,127.0.0.1,1499958576,2017-07-13 17:09:36.269,page loaded,40,None
53,1,127.0.0.1,1499958577,2017-07-13 17:09:37.721,started typing,40,None
54,1,127.0.0.1,1499958581,2017-07-13 17:09:41.097,submitted,40,line chart
55,1,127.0.0.1,1499958581,2017-07-13 17:09:41.737,page loaded,41,None
56,1,127.0.0.1,1499958584,2017-07-13 17:09:44.718,started typing,41,None
57,1,127.0.0.1,1499958591,2017-07-13 17:09:51.956,submitted,41,scatter plot
58,1,127.0.0.1,1499958592,2017-07-13 17:09:52.591,page loaded,42,None
59,1,127.0.0.1,1499958594,2017-07-13 17:09:54.071,started typing,42,None
