task,task_id,iduser,timestamp,date,event,idtype,label,idimg,imagepath
textual,textual_3,22,1501074459,2017-07-26 15:07:39.289,submitted,7,bubble chart,143,https://s3.eu-central-1.amazonaws.com/namethatchart-imagedataset/downloadApi/vis16cat/BubbleChart_112.jpg
textual,textual_7,22,1501075088,2017-07-26 15:18:08.598,submitted,8,tree diagram,238,https://s3.eu-central-1.amazonaws.com/namethatchart-imagedataset/downloadApi/vis16cat/TreeDiagram_405.gif
textual,textual_8,22,1501075105,2017-07-26 15:18:25.580,submitted,9,candlestick chart,7,https://s3.eu-central-1.amazonaws.com/namethatchart-imagedataset/downloadApi/vis16cat/BoxPlot_17.jpg
textual,textual_9,22,1501075113,2017-07-26 15:18:33.395,submitted,8,tree diagram,81,https://s3.eu-central-1.amazonaws.com/namethatchart-imagedataset/downloadApi/vis16cat/TreeDiagram_445.gif
textual,textual_10,22,1501075119,2017-07-26 15:18:39.158,submitted,8,tree diagram,217,https://s3.eu-central-1.amazonaws.com/namethatchart-imagedataset/downloadApi/vis16cat/TreeDiagram_422.gif
textual,textual_11,22,1501075131,2017-07-26 15:18:51.656,submitted,9,candlestick chart,222,https://s3.eu-central-1.amazonaws.com/namethatchart-imagedataset/downloadApi/vis16cat/BoxPlot_74.jpg
textual,textual_12,22,1501075143,2017-07-26 15:19:03.262,submitted,7,bubble chart,146,https://s3.eu-central-1.amazonaws.com/namethatchart-imagedataset/downloadApi/vis16cat/BubbleChart_128.gif
textual,textual_13,22,1501075155,2017-07-26 15:19:15.433,submitted,7,bubble chart,48,https://s3.eu-central-1.amazonaws.com/namethatchart-imagedataset/downloadApi/vis16cat/BubbleChart_82.jpg
textual,textual_14,22,1501075162,2017-07-26 15:19:22.597,submitted,10,network diagram,191,https://s3.eu-central-1.amazonaws.com/namethatchart-imagedataset/downloadApi/vis16cat/NetworkDiagram_430.jpg
textual,textual_15,22,1501075170,2017-07-26 15:19:30.230,submitted,8,tree diagram,78,https://s3.eu-central-1.amazonaws.com/namethatchart-imagedataset/downloadApi/vis16cat/TreeDiagram_439.png
textual,textual_16,22,1501075176,2017-07-26 15:19:36.075,submitted,7,bubble chart,49,https://s3.eu-central-1.amazonaws.com/namethatchart-imagedataset/downloadApi/vis16cat/BubbleChart_96.gif
textual,textual_17,22,1501075190,2017-07-26 15:19:50.767,submitted,11,stacked bar chart,151,https://s3.eu-central-1.amazonaws.com/namethatchart-imagedataset/downloadApi/vis16cat/ColumnGraph_224+(1).gif
textual,textual_20,22,1501075220,2017-07-26 15:20:20.193,submitted,12,flow chart,120,https://s3.eu-central-1.amazonaws.com/namethatchart-imagedataset/downloadApi/vis16cat/FlowChart_261.gif
textual,textual_21,22,1501075229,2017-07-26 15:20:29.725,submitted,8,tree diagram,238,https://s3.eu-central-1.amazonaws.com/namethatchart-imagedataset/downloadApi/vis16cat/TreeDiagram_405.gif
textual,textual_22,22,1501075234,2017-07-26 15:20:34.614,submitted,12,flow chart,54,https://s3.eu-central-1.amazonaws.com/namethatchart-imagedataset/downloadApi/vis16cat/FlowChart_315+(1).gif
textual,textual_23,22,1501075238,2017-07-26 15:20:38.978,submitted,12,flow chart,268,https://s3.eu-central-1.amazonaws.com/namethatchart-imagedataset/downloadApi/vis16cat/FlowChart_224.jpg
textual,textual_24,22,1501075262,2017-07-26 15:21:02.083,submitted,13,pareto chart,248,https://s3.eu-central-1.amazonaws.com/namethatchart-imagedataset/downloadApi/vis16cat/ColumnGraph_188+(1).gif
textual,textual_25,22,1501075275,2017-07-26 15:21:15.019,submitted,14,bubble chart & scatter plot,84,https://s3.eu-central-1.amazonaws.com/namethatchart-imagedataset/downloadApi/vis16cat/BubbleChart_137.jpg
textual,textual_26,22,1501075278,2017-07-26 15:21:18.656,submitted,12,flow chart,139,https://s3.eu-central-1.amazonaws.com/namethatchart-imagedataset/downloadApi/vis16cat/FlowChart_215.gif
textual,textual_27,22,1501075288,2017-07-26 15:21:28.768,submitted,7,bubble chart,229,https://s3.eu-central-1.amazonaws.com/namethatchart-imagedataset/downloadApi/vis16cat/BubbleChart_64.jpg
textual,textual_28,22,1501075295,2017-07-26 15:21:35.531,submitted,12,flow chart,257,https://s3.eu-central-1.amazonaws.com/namethatchart-imagedataset/downloadApi/vis16cat/FlowChart_295.gif
textual,textual_29,22,1501075309,2017-07-26 15:21:49.063,submitted,10,network diagram,237,https://s3.eu-central-1.amazonaws.com/namethatchart-imagedataset/downloadApi/vis16cat/NetworkDiagram_326.jpg
textual,textual_35,22,1501075309,2017-07-26 15:21:49.063,submitted,8,tree diagram,237,https://s3.eu-central-1.amazonaws.com/namethatchart-imagedataset/downloadApi/vis16cat/NetworkDiagram_326.jpg
textual,textual_36,22,1501075309,2017-07-26 15:21:49.063,submitted,12,flow chart,237,https://s3.eu-central-1.amazonaws.com/namethatchart-imagedataset/downloadApi/vis16cat/NetworkDiagram_326.jpg
textual,textual_37,22,1501075309,2017-07-26 15:21:49.063,submitted,13,pareto chart,237,https://s3.eu-central-1.amazonaws.com/namethatchart-imagedataset/downloadApi/vis16cat/NetworkDiagram_326.jpg
textual,textual_38,22,1501075309,2017-07-26 15:21:49.063,submitted,7,bubble chart,237,https://s3.eu-central-1.amazonaws.com/namethatchart-imagedataset/downloadApi/vis16cat/NetworkDiagram_326.jpg
textual,textual_40,22,1501075309,2017-07-26 15:21:49.063,submitted,14,bubble chart & scatter plot,237,https://s3.eu-central-1.amazonaws.com/namethatchart-imagedataset/downloadApi/vis16cat/NetworkDiagram_326.jpg
textual,textual_41,22,1501075309,2017-07-26 15:21:49.063,submitted,13,pareto chart,237,https://s3.eu-central-1.amazonaws.com/namethatchart-imagedataset/downloadApi/vis16cat/NetworkDiagram_326.jpg
textual,textual_44,22,1501079007,2017-07-26 16:23:27.122,submitted,25,bar chart,131,https://s3.eu-central-1.amazonaws.com/namethatchart-imagedataset/downloadApi/vis16cat/ColumnGraph_182.jpg
textual,textual_48,22,1501079034,2017-07-26 16:23:54.840,submitted,19,table,914,https://s3.eu-central-1.amazonaws.com/namethatchart-imagedataset/downloadApi/vis10cat/Table_886.jpg
textual,textual_49,22,1501079040,2017-07-26 16:24:00.713,submitted,26,vertical bar chart,423,https://s3.eu-central-1.amazonaws.com/namethatchart-imagedataset/downloadApi/vis10cat/BarGraph_81.gif
textual,textual_50,22,1501079049,2017-07-26 16:24:09.736,submitted,27,color map,341,https://s3.eu-central-1.amazonaws.com/namethatchart-imagedataset/downloadApi/vis10cat/Map_391.png
textual,textual_51,22,1501079054,2017-07-26 16:24:14.446,submitted,12,flow chart,303,https://s3.eu-central-1.amazonaws.com/namethatchart-imagedataset/downloadApi/vis16cat/FlowChart_242.gif
textual,textual_52,22,1501079062,2017-07-26 16:24:22.022,submitted,7,bubble chart,249,https://s3.eu-central-1.amazonaws.com/namethatchart-imagedataset/downloadApi/vis16cat/BubbleChart_133.jpg
textual,textual_53,22,1501079070,2017-07-26 16:24:30.553,submitted,8,tree diagram,173,https://s3.eu-central-1.amazonaws.com/namethatchart-imagedataset/downloadApi/vis16cat/TreeDiagram_408.jpg
textual,textual_54,22,1501079074,2017-07-26 16:24:34.903,submitted,28,buuble chart,185,https://s3.eu-central-1.amazonaws.com/namethatchart-imagedataset/downloadApi/vis16cat/BubbleChart_146.png
textual,textual_55,22,1501079078,2017-07-26 16:24:38.402,submitted,12,flow chart,114,https://s3.eu-central-1.amazonaws.com/namethatchart-imagedataset/downloadApi/vis16cat/FlowChart_216.jpg
textual,textual_56,22,1501079082,2017-07-26 16:24:42.506,submitted,12,flow chart,5,https://s3.eu-central-1.amazonaws.com/namethatchart-imagedataset/downloadApi/vis16cat/FlowChart_327.jpg
textual,textual_57,22,1501079089,2017-07-26 16:24:49.003,submitted,29,box chart,127,https://s3.eu-central-1.amazonaws.com/namethatchart-imagedataset/downloadApi/vis16cat/BoxPlot_50.jpg
textual,textual_58,22,1501079095,2017-07-26 16:24:55.868,submitted,7,bubble chart,186,https://s3.eu-central-1.amazonaws.com/namethatchart-imagedataset/downloadApi/vis16cat/BubbleChart_60.jpg
textual,textual_59,22,1501079116,2017-07-26 16:25:16.217,submitted,30,area chart,422,https://s3.eu-central-1.amazonaws.com/namethatchart-imagedataset/downloadApi/vis10cat/AreaGraph_26.png
textual,textual_60,22,1501079121,2017-07-26 16:25:21.840,submitted,26,vertical bar chart,412,https://s3.eu-central-1.amazonaws.com/namethatchart-imagedataset/downloadApi/vis10cat/BarGraph_85.gif
textual,textual_61,22,1501079123,2017-07-26 16:25:23.839,submitted,20,map,718,https://s3.eu-central-1.amazonaws.com/namethatchart-imagedataset/downloadApi/vis10cat/Map_347.jpg
textual,textual_62,22,1501079126,2017-07-26 16:25:26.970,submitted,25,bar chart,478,https://s3.eu-central-1.amazonaws.com/namethatchart-imagedataset/downloadApi/vis10cat/BarGraph_144.gif
textual,textual_63,22,1501079129,2017-07-26 16:25:29.762,submitted,31,pie chart,881,https://s3.eu-central-1.amazonaws.com/namethatchart-imagedataset/downloadApi/vis10cat/PieChart_594.png
textual,textual_64,22,1501079131,2017-07-26 16:25:31.544,submitted,20,map,890,https://s3.eu-central-1.amazonaws.com/namethatchart-imagedataset/downloadApi/vis10cat/Map_448.jpg
textual,textual_65,22,1501079136,2017-07-26 16:25:36.583,submitted,7,bubble chart,197,https://s3.eu-central-1.amazonaws.com/namethatchart-imagedataset/downloadApi/vis16cat/BubbleChart_77.jpg
textual,textual_66,22,1501079141,2017-07-26 16:25:41.694,submitted,19,table,317,https://s3.eu-central-1.amazonaws.com/namethatchart-imagedataset/downloadApi/vis10cat/Table_932.gif
textual,textual_67,22,1501079143,2017-07-26 16:25:43.453,submitted,20,map,624,https://s3.eu-central-1.amazonaws.com/namethatchart-imagedataset/downloadApi/vis10cat/Map_330.jpg
textual,textual_74,22,1501140354,2017-07-27 09:25:54.768,submitted,31,pie chart,792,https://s3.eu-central-1.amazonaws.com/namethatchart-imagedataset/downloadApi/vis10cat/PieChart_651.png
textual,textual_81,22,1501143740,2017-07-27 10:22:20.329,submitted,32,radar plot,683,https://s3.eu-central-1.amazonaws.com/namethatchart-imagedataset/downloadApi/vis10cat/RadarPlot_656.gif
textual,textual_82,22,1501143743,2017-07-27 10:22:23.400,submitted,31,pie chart,853,https://s3.eu-central-1.amazonaws.com/namethatchart-imagedataset/downloadApi/vis10cat/PieChart_661.png
textual,textual_83,22,1501143748,2017-07-27 10:22:28.991,submitted,11,stacked bar chart,255,https://s3.eu-central-1.amazonaws.com/namethatchart-imagedataset/downloadApi/vis16cat/ColumnGraph_183.png
textual,textual_84,22,1501143752,2017-07-27 10:22:32.213,submitted,33,line chart,675,https://s3.eu-central-1.amazonaws.com/namethatchart-imagedataset/downloadApi/vis10cat/LineGraph_294.jpg
textual,textual_85,22,1501143755,2017-07-27 10:22:35.057,submitted,31,pie chart,429,https://s3.eu-central-1.amazonaws.com/namethatchart-imagedataset/downloadApi/vis10cat/PieChart_598.gif
textual,textual_86,22,1501143759,2017-07-27 10:22:39.754,submitted,30,area chart,422,https://s3.eu-central-1.amazonaws.com/namethatchart-imagedataset/downloadApi/vis10cat/AreaGraph_26.png
textual,textual_87,22,1501143770,2017-07-27 10:22:50.918,submitted,34,multiple pareto,855,https://s3.eu-central-1.amazonaws.com/namethatchart-imagedataset/downloadApi/vis10cat/BarGraph_167.jpg
textual,textual_88,22,1501143775,2017-07-27 10:22:55.453,submitted,35,radar chart,472,https://s3.eu-central-1.amazonaws.com/namethatchart-imagedataset/downloadApi/vis10cat/RadarPlot_678.gif
textual,textual_89,22,1501143783,2017-07-27 10:23:03.592,submitted,36,column chart,560,https://s3.eu-central-1.amazonaws.com/namethatchart-imagedataset/downloadApi/vis10cat/BarGraph_203.gif
textual,textual_90,22,1501143789,2017-07-27 10:23:09.472,submitted,7,bubble chart,205,https://s3.eu-central-1.amazonaws.com/namethatchart-imagedataset/downloadApi/vis16cat/BubbleChart_67.gif
